time_s,phase,x_m,y_m,z_m,vx_mps,vz_mps,command_vx_mps,command_vz_mps,command_altitude_m,command_thrust_n,command_pitch_deg,measured_pitch_deg,pitch_error_deg,pitch_torque,ttc_s,bbox_scale_px,bbox_growth_px_s
5.45,track,-9.999175382276253,0.0,14.827506159959555,0.011817226319975883,-0.23835848604352874,13.0,0.0,15.0,6.469021016854899,20.0,1.2383417152472471,18.76165828475275,0.0016419146378258438,nan,nan,nan
5.454166666666667,track,-9.99912364320342,0.0,14.826463934574338,0.012417377479821646,-0.2501340924520332,13.0,0.0,15.0,6.469021016854899,20.0,1.2785975192365968,18.721402480763402,0.0016419146378258438,nan,nan,nan
5.458333333333333,track,-9.9990692355656,0.0,14.825376656465254,0.013057833077087896,-0.2609467461802284,13.0,0.0,15.0,6.469216188706969,20.0,1.3194082873000155,18.680591712699986,0.0016022622064245143,nan,nan,nan
5.4625,track,-9.999011990880602,0.0,14.824248060691811,0.013738724399332975,-0.2708629856262871,13.0,0.0,15.0,6.469216188706969,20.0,1.3607660463449038,18.639233953655094,0.0016022622064245143,nan,nan,nan
5.466666666666667,track,-9.998952003818824,0.0,14.823070089891164,0.014396894826771284,-0.28271299215546697,13.0,-2.021175913034304,1.0,1.8330342792987058,20.0,1.4026663895447193,18.59733361045528,0.0015630941644515525,6.84311532436923,19.595917942265423,2.863596039727957
5.470833333333333,track,-9.998889358001163,0.0,14.821835592034947,0.015034996238588083,-0.296279485492106,13.0,-2.021175913034304,1.0,1.8330342792987058,20.0,1.4451045195006118,18.554895480499386,0.0015630941644515525,6.84311532436923,19.595917942265423,2.863596039727957
5.475,track,-9.998824120068003,0.0,14.820538493935235,0.01565710395866478,-0.31130354393118675,13.0,-2.019816258658331,1.0,1.9207572132925237,20.0,1.4880734766281898,18.51192652337181,0.0015241656095728525,6.84311532436923,19.595917942265423,2.863596039727957
5.479166666666667,track,-9.998756348069639,0.0,14.819173379798144,0.016265279607384123,-0.3276273929019591,13.0,-2.019816258658331,1.0,1.9207572132925237,20.0,1.5315664989153415,18.46843350108466,0.0015241656095728525,6.84311532436923,19.595917942265423,2.863596039727957
5.483333333333333,track,-9.998686092208471,0.0,14.817735412876955,0.01686140668014485,-0.34511206108542786,13.0,-2.019816258658331,1.0,1.9208325244842999,20.0,1.575575802462563,18.424424197537437,0.001485580903838542,6.84311532436923,19.595917942265423,2.863596039727957
5.4875,track,-9.998613395515383,0.0,14.816220266995739,0.0174472063411578,-0.36363501149181543,13.0,-2.019816258658331,1.0,1.9208325244842999,20.0,1.6200940358729683,18.379905964127033,0.001485580903838542,6.84311532436923,19.595917942265423,2.863596039727957
5.491666666666666,track,-9.998538294445593,0.0,14.814624067468085,0.018024256749417912,-0.3830878866371929,13.0,-2.019816258658331,1.0,1.9209141734893145,20.0,1.665113083953569,18.334886916046433,0.0014474537619842839,6.84311532436923,19.595917942265423,2.863596039727957
5.495833333333334,track,-9.99846081942583,0.0,14.81294333913912,0.018594004743131637,-0.40337479895154515,13.0,-2.019816258658331,1.0,1.9209141734893145,20.0,1.7106253995876461,18.28937460041235,0.0014474537619842839,6.84311532436923,19.595917942265423,2.863596039727957
5.5,track,-9.998380723146353,0.0,14.811184428547367,0.019223107074518707,-0.42213854202054113,13.0,0.0,15.0,6.565603853986358,20.0,1.7566285826653982,18.2433714173346,0.0014098291877115254,nan,nan,nan
5.504166666666666,track,-9.998297757433157,0.0,14.809353352226575,0.019911771167138752,-0.4394583169901093,13.0,0.0,15.0,6.565603853986358,20.0,1.8031191601651677,18.196880839834833,0.0014098291877115254,nan,nan,nan
5.508333333333333,track,-9.99821167399902,0.0,14.807455792873684,0.02066002419295863,-0.4554142446938057,13.0,0.0,15.0,6.565928963012632,20.0,1.8500921899411502,18.14990781005885,0.0013723282201101314,nan,nan,nan
5.5125,track,-9.99812222509072,0.0,14.80549709983226,0.021467737991946446,-0.4700863299415384,13.0,0.0,15.0,6.565928963012632,20.0,1.897542200841417,18.102457799158582,0.0013723282201101314,nan,nan,nan
5.516666666666667,track,-9.99802915749239,0.0,14.80348249799914,0.02233622359943594,-0.48350443994917863,13.0,0.0,15.0,6.6797891231551425,20.0,1.9454628528282345,18.054537147171764,0.0013350310851328727,nan,nan,nan
5.520833333333333,track,-9.997932219406755,0.0,14.801416883581998,0.023265140552589395,-0.495747460113876,13.0,0.0,15.0,6.6797891231551425,20.0,1.9938475970124452,18.006152402987553,0.0013350310851328727,nan,nan,nan
5.525,track,-9.997831160792336,0.0,14.79930483496278,0.024254067460405752,-0.5068916686125726,13.0,0.0,15.0,6.680170559734712,20.0,2.042689077020095,17.957310922979904,0.0012980919053846834,nan,nan,nan
5.529166666666667,track,-9.997725733666613,0.0,14.797150624012012,0.02530251017336224,-0.5170106281840392,13.0,0.0,15.0,6.680170559734712,20.0,2.0919799979078646,17.908020002092133,0.0012980919053846834,nan,nan,nan
5.533333333333333,track,-9.997615692289724,0.0,14.794958230230836,0.02640993045350256,-0.5261745074821875,13.0,0.0,15.0,6.680578693214569,20.0,2.1417124612105303,17.85828753878947,0.0012616153327985316,nan,nan,nan
5.5375,track,-9.997500793344114,0.0,14.792731354114192,0.02757574694621651,-0.5344502679948158,13.0,0.0,15.0,6.680578693214569,20.0,2.1918788108292477,17.808121189170752,0.0012616153327985316,nan,nan,nan
5.541666666666667,track,-9.997380796006013,0.0,14.790473432645786,0.02879936114451139,-0.5419011524175079,13.0,0.0,15.0,6.681014356489166,20.0,2.2424709227504054,17.757529077249593,0.0012256649034049327,nan,nan,nan
5.545833333333333,track,-9.997255462038078,0.0,14.788187653179984,0.03008015230453741,-0.5485870717926947,13.0,0.0,15.0,6.681014356489166,20.0,2.293481033917637,17.706518966082363,0.0012256649034049327,nan,nan,nan
5.55,track,-9.997124546019625,0.0,14.785877221036564,0.031419844428678276,-0.5545037144206895,13.0,0.0,15.0,6.80746164693416,20.0,2.344901097279124,17.655098902720876,0.0011902725161854904,nan,nan,nan
5.554166666666666,track,-9.99698780534838,0.0,14.783545104572264,0.032817761098568786,-0.5597079514322046,13.0,0.0,15.0,6.80746164693416,20.0,2.3967234694907846,17.603276530509213,0.0011902725161854904,nan,nan,nan
5.558333333333334,track,-9.996845000186166,0.0,14.781194050878945,0.034273238931446855,-0.5642528863963849,13.0,0.0,15.0,6.8079640111734365,20.0,2.448940163168839,17.55105983683116,0.0011554428061174616,nan,nan,nan
5.5625,track,-9.996695893463366,0.0,14.778826598956979,0.03578561347187109,-0.5681884612716757,13.0,0.0,15.0,6.8079640111734365,20.0,2.501543650673383,17.498456349326617,0.0011554428061174616,nan,nan,nan
5.566666666666666,track,-9.99654025077629,0.0,14.776445094568645,0.037354244898422984,-0.5715610532002088,13.0,0.0,15.0,6.808496746011237,20.0,2.5545261023816472,17.445473897618353,0.0011211755793182224,nan,nan,nan
5.570833333333333,track,-9.996377840362262,0.0,14.774051702240808,0.03897849936650671,-0.574414158680792,13.0,0.0,15.0,6.808496746011237,20.0,2.60788018077794,17.39211981922206,0.0011211755793182224,nan,nan,nan
5.575,track,-9.996208432963813,0.0,14.771648419006745,0.04065777562782411,-0.5767879761752676,13.0,0.0,15.0,6.80906056076323,20.0,2.6615982712759934,17.33840172872401,0.0010874637921435178,nan,nan,nan
5.579166666666667,track,-9.996031801788051,0.0,14.769237085062144,0.04239148218309362,-0.5787201467039831,13.0,0.0,15.0,6.80906056076323,20.0,2.715673267637795,17.284326732362207,0.0010874637921435178,nan,nan,nan
5.583333333333333,track,-9.995847722348696,0.0,14.766819396293217,0.044179065445218525,-0.580245304542653,13.0,0.0,15.0,6.8096561353781295,20.0,2.7700978000596668,17.229902199940334,0.001054294393256484,nan,nan,nan
5.5875,track,-9.995655972419815,0.0,14.764396913540605,0.04601998293142292,-0.5813958606268312,13.0,0.0,15.0,6.8096561353781295,20.0,2.8248650125010064,17.175134987498993,0.001054294393256484,nan,nan,nan
5.591666666666667,track,-9.995456320556498,0.0,14.761971310359677,0.047916447196262486,-0.5821447634228366,13.0,0.0,15.0,6.921642495150837,20.0,2.879967818176764,17.120032181823237,0.0010216510619442483,nan,nan,nan
5.595833333333333,track,-9.995248537785894,0.0,14.759544126558453,0.049867864944967914,-0.5825241122938933,13.0,0.0,15.0,6.921642495150837,20.0,2.9353996271676426,17.06460037283236,0.0010216510619442483,nan,nan,nan
5.6,track,-9.995033020469519,0.0,14.757104243026632,0.05172415593009292,-0.5855720476371202,13.0,-0.6251026787177891,1.0,2.229612590650394,20.0,2.9911592250409056,17.008840774959094,0.0009895143851362995,22.02329291650409,19.183326093250876,0.8710471302352354
5.604166666666667,track,-9.994810120914101,0.0,14.754641806247964,0.05349589330030022,-0.5909848268802183,13.0,-0.6251026787177891,1.0,2.229612590650394,20.0,3.0472448930420604,16.95275510695794,0.0009895143851362995,22.02329291650409,19.183326093250876,0.8710471302352354
5.608333333333333,track,-9.994580152152604,0.0,14.752148069691424,0.05519250275940257,-0.5984967735697075,13.0,-0.6251026787177891,1.0,2.2298400386286947,20.0,3.1036533839990166,16.896346616000983,0.0009574645706927755,22.02329291650409,19.183326093250876,0.8710471302352354
5.6125,track,-9.994343392222603,0.0,14.749615255476234,0.05682238320031534,-0.6078754116455588,13.0,-0.6251026787177891,1.0,2.2298400386286947,20.0,3.160381357214276,16.839618642785723,0.0009574645706927755,22.02329291650409,19.183326093250876,0.8710471302352354
5.616666666666666,track,-9.994100087850173,0.0,14.747036436414781,0.058393049383308804,-0.618916574748604,13.0,-0.6251026787177891,1.0,2.230078806077329,20.0,3.217424349006643,16.782575650993355,0.0009255248495258531,22.02329291650409,19.183326093250876,0.8710471302352354
5.620833333333334,track,-9.99385045777326,0.0,14.744405432405348,0.059911218459351656,-0.6314409622640292,13.0,-0.6251026787177891,1.0,2.230078806077329,20.0,3.2747780633625356,16.725221936637464,0.0009255248495258531,22.02329291650409,19.183326093250876,0.8710471302352354
5.625,track,-9.993594683102863,0.0,14.741716947832037,0.061385920895131306,-0.6452362975944461,13.0,-0.6240849397278548,1.0,2.3047061522012386,20.0,3.332437165865554,16.667562834134447,0.000893825465956374,22.02329291650409,19.183326093250876,0.8710471302352354
5.629166666666666,track,-9.993332923568557,0.0,14.73896623937031,0.06282228823330936,-0.6601700308144679,13.0,-0.6240849397278548,1.0,2.3047061522012386,20.0,3.3903966905380063,16.609603309461992,0.000893825465956374,22.02329291650409,19.183326093250876,0.8710471302352354
